,workclass,education,age
0, State-gov, Bachelors,39
1, Self-emp-not-inc, Bachelors,50
2, Private, HS-grad,38
3, Private, 11th,53
4, Private, Bachelors,28
5, Private, Masters,37
6, Private, 9th,49
7, Self-emp-not-inc, HS-grad,52
8, Private, Masters,31
9, Private, Bachelors,42
10, Private, Some-college,37
11, State-gov, Bachelors,30
12, Private, Bachelors,23
13, Private, Assoc-acdm,32
14, Private, Assoc-voc,40
15, Private, 7th-8th,34
16, Self-emp-not-inc, HS-grad,25
17, Private, HS-grad,32
18, Private, 11th,38
19, Self-emp-not-inc, Masters,43
20, Private, Doctorate,40
21, Private, HS-grad,54
22, Federal-gov, 9th,35
23, Private, 11th,43
24, Private, HS-grad,59
25, Local-gov, Bachelors,56
26, Private, HS-grad,19
27, ?, Some-college,54
28, Private, HS-grad,39
29, Private, HS-grad,49
30, Local-gov, Assoc-acdm,23
31, Private, Some-college,20
32, Private, Bachelors,45
33, Federal-gov, Some-college,30
34, State-gov, Some-college,22
35, Private, 11th,48
36, Private, Some-college,21
37, Private, HS-grad,19
38, Private, Some-college,31
39, Self-emp-not-inc, Assoc-acdm,48
40, Private, 9th,31
41, Self-emp-not-inc, Bachelors,53
42, Private, Bachelors,24
43, Private, HS-grad,49
44, Private, HS-grad,25
45, Federal-gov, Bachelors,57
46, Private, HS-grad,53
47, Private, Masters,44
48, State-gov, Assoc-voc,41
49, Private, Assoc-voc,29
50, Private, Some-college,25
51, Private, HS-grad,18
52, Private, Prof-school,47
53, Federal-gov, Bachelors,50
54, Self-emp-inc, HS-grad,47
55, Private, Some-college,43
56, Private, 5th-6th,46
57, Private, Assoc-voc,35
58, Private, HS-grad,41
59, Private, HS-grad,30
60, Private, Bachelors,30
61, ?, 7th-8th,32
62, Private, HS-grad,48
63, Private, Doctorate,42
64, Private, Some-college,29
65, Private, HS-grad,36
66, Private, Some-college,28
67, Private, HS-grad,53
68, Self-emp-inc, Some-college,49
69, ?, Some-college,25
70, Private, Some-college,19
71, Private, Bachelors,31
72, Self-emp-not-inc, Bachelors,29
73, Private, Some-college,23
74, Private, Some-college,79
75, Private, HS-grad,27
76, Private, Assoc-acdm,40
77, ?, 10th,67
78, Private, 11th,18
79, Local-gov, 7th-8th,31
80, Private, HS-grad,18
81, Private, Bachelors,52
82, Private, HS-grad,46
83, Private, HS-grad,59
84, Private, HS-grad,44
85, Private, HS-grad,53
86, Local-gov, HS-grad,49
87, Private, Masters,33
88, Private, 9th,30
89, Federal-gov, Doctorate,43
90, Private, Assoc-voc,57
91, Private, Some-college,37
92, Private, Some-college,28
93, Private, HS-grad,30
94, Local-gov, Bachelors,34
95, Local-gov, Some-college,29
96, Self-emp-not-inc, Doctorate,48
97, Private, Some-college,37
98, Private, Assoc-acdm,48
99, Federal-gov, HS-grad,32
100, Private, Masters,76
101, Private, Bachelors,44
102, Self-emp-not-inc, Masters,47
103, Private, Some-college,20
104, Private, HS-grad,29
105, Self-emp-inc, HS-grad,32
106, ?, 10th,17
107, Private, 11th,30
108, Local-gov, HS-grad,31
109, Private, HS-grad,42
110, Private, Bachelors,24
111, Private, Prof-school,38
112, Self-emp-not-inc, HS-grad,56
113, Private, Some-college,28
114, Private, HS-grad,36
115, Private, 9th,53
116, Self-emp-inc, Some-college,56
117, Local-gov, Assoc-voc,49
118, Private, Some-college,55
119, Private, HS-grad,22
120, Private, Some-college,21
121, Private, Bachelors,40
122, Private, Bachelors,30
123, State-gov, Bachelors,29
124, Private, Some-college,19
125, Private, Bachelors,47
126, Private, Some-college,20
127, Private, Assoc-acdm,31
